Date, Open, High, Low, Close
03/24/26, 4680.35, 4680.35, 4680.35, 4680.35
03/23/26, 4695.50, 4695.50, 4695.50, 4695.50
03/20/26, 4637.93, 4637.93, 4637.93, 4637.93
03/19/26, 4713.31, 4713.31, 4713.31, 4713.31
03/18/26, 4722.57, 4722.57, 4722.57, 4722.57
03/17/26, 4787.27, 4787.27, 4787.27, 4787.27
03/16/26, 4772.28, 4772.28, 4772.28, 4772.28
03/13/26, 4724.61, 4724.61, 4724.61, 4724.61
03/12/26, 4751.54, 4751.54, 4751.54, 4751.54
03/11/26, 4828.54, 4828.54, 4828.54, 4828.54
03/10/26, 4832.82, 4832.82, 4832.82, 4832.82
03/09/26, 4844.87, 4844.87, 4844.87, 4844.87
03/06/26, 4803.97, 4803.97, 4803.97, 4803.97
03/05/26, 4871.35, 4871.35, 4871.35, 4871.35
03/04/26, 4903.47, 4903.47, 4903.47, 4903.47
03/03/26, 4866.11, 4866.11, 4866.11, 4866.11
03/02/26, 4916.94, 4916.94, 4916.94, 4916.94
02/27/26, 4911.15, 4911.15, 4911.15, 4911.15
02/26/26, 4936.83, 4936.83, 4936.83, 4936.83
02/25/26, 4955.82, 4955.82, 4955.82, 4955.82
02/24/26, 4917.34, 4917.34, 4917.34, 4917.34
02/23/26, 4877.18, 4877.18, 4877.18, 4877.18
02/20/26, 4933.37, 4933.37, 4933.37, 4933.37
02/19/26, 4904.30, 4904.30, 4904.30, 4904.30
02/18/26, 4915.36, 4915.36, 4915.36, 4915.36
02/17/26, 4887.75, 4887.75, 4887.75, 4887.75
02/13/26, 4883.54, 4883.54, 4883.54, 4883.54
02/12/26, 4875.24, 4875.24, 4875.24, 4875.24
02/11/26, 4954.52, 4954.52, 4954.52, 4954.52
02/10/26, 4957.97, 4957.97, 4957.97, 4957.97
02/09/26, 4973.13, 4973.13, 4973.13, 4973.13
02/06/26, 4949.22, 4949.22, 4949.22, 4949.22
02/05/26, 4845.65, 4845.65, 4845.65, 4845.65
02/04/26, 4908.49, 4908.49, 4908.49, 4908.49
02/03/26, 4932.06, 4932.06, 4932.06, 4932.06
02/02/26, 4969.81, 4969.81, 4969.81, 4969.81
01/30/26, 4942.30, 4942.30, 4942.30, 4942.30
01/29/26, 4969.90, 4969.90, 4969.90, 4969.90
01/28/26, 4978.54, 4978.54, 4978.54, 4978.54
01/27/26, 4982.14, 4982.14, 4982.14, 4982.14
01/26/26, 4963.39, 4963.39, 4963.39, 4963.39
01/23/26, 4942.39, 4942.39, 4942.39, 4942.39
01/22/26, 4948.47, 4948.47, 4948.47, 4948.47
01/21/26, 4921.07, 4921.07, 4921.07, 4921.07
01/20/26, 4862.90, 4862.90, 4862.90, 4862.90
01/16/26, 4961.95, 4961.95, 4961.95, 4961.95
01/15/26, 4964.26, 4964.26, 4964.26, 4964.26
01/14/26, 4948.89, 4948.89, 4948.89, 4948.89
01/13/26, 4970.74, 4970.74, 4970.74, 4970.74
01/12/26, 4979.71, 4979.71, 4979.71, 4979.71
01/09/26, 4971.00, 4971.00, 4971.00, 4971.00
01/08/26, 4938.90, 4938.90, 4938.90, 4938.90
01/07/26, 4936.52, 4936.52, 4936.52, 4936.52
01/06/26, 4953.99, 4953.99, 4953.99, 4953.99
01/05/26, 4919.73, 4919.73, 4919.73, 4919.73
01/02/26, 4884.11, 4884.11, 4884.11, 4884.11
12/31/25, 4868.49, 4868.49, 4868.49, 4868.49
12/30/25, 4905.90, 4905.90, 4905.90, 4905.90
12/29/25, 4914.42, 4914.42, 4914.42, 4914.42
12/26/25, 4932.83, 4932.83, 4932.83, 4932.83
